,area,centroid-0,centroid-1,perimeter,orientation,major_axis_length,minor_axis_length,max_intensity-0,min_intensity-0,mean_intensity-0,max_intensity-1,min_intensity-1,mean_intensity-1,max_intensity-2,min_intensity-2,mean_intensity-2
10,0.0004102383376406401,388.3439742637961,374.00024746349914,0.07727596227569154,0.25241842610120346,0.02482814695312767,0.021278558023610183,251.0,0.0,134.04104636324968,255.0,0.0,154.79413015737984,255.0,0.0,169.47830710336027
11,0.0002744929125225155,404.66380039097584,560.3518122259206,0.06432625875456717,-1.522315782042702,0.022690942452442325,0.015473623508546827,255.0,0.0,163.53369357914812,244.0,0.0,133.8467895740623,247.0,0.0,138.66338207247298
12,0.00016902915916151094,364.52417417417416,724.0450664950665,0.058140252044101934,-0.19410735791188757,0.02234693769611885,0.010638283265853301,238.0,0.0,93.23544698544698,240.0,0.0,95.9095634095634,241.0,0.0,93.25883575883576
13,0.0006994805127000287,350.77356368310836,865.4982324645974,0.09999342342873584,0.2626251292123016,0.033059235398514165,0.02701571228962585,255.0,0.0,127.96043928616,255.0,0.0,141.54186946212405,255.0,0.0,142.95794334206914
14,0.0009722766074085677,353.2226697095807,1067.3780447785684,0.11843794022359762,-1.2560178052870192,0.03938983732222333,0.031459908109354257,255.0,0.0,209.57051799982045,255.0,0.0,203.67187359727086,251.0,0.0,185.78759314121555
15,8.244794249963019e-05,561.4299472295514,39.519656992084435,0.040297986151996104,-1.4610574032352,0.015324854704823506,0.007324033129066121,142.0,0.0,57.31837606837607,141.0,0.0,56.164529914529915,139.0,0.0,53.43910256410256
16,0.00041511125033718817,588.5020962163295,234.83298396394508,0.0797789951294493,-0.8790829683218871,0.027864277365460793,0.01921761593849822,255.0,0.0,175.4782425010562,255.0,0.0,170.80207013096748,247.0,0.0,162.85424588086184
17,0.000541284882658522,562.715811965812,347.67917236020685,0.08780648876826833,-0.30334647797726744,0.026581407393957566,0.02597260134506818,255.0,0.0,155.6441005802708,255.0,0.0,158.462443584784,255.0,0.0,162.40038684719536
18,0.00022619886704779805,547.4323267294992,569.3970314804129,0.061346758735868534,1.1849698327230969,0.018898903927551215,0.015717190141523025,255.0,0.0,151.43308908600076,255.0,0.0,148.421133821828,241.0,0.0,129.94755109911299
19,0.0006305636045631347,553.6368764231008,732.3095689873272,0.09600678076626937,-0.856544869107301,0.03234085261505648,0.025008830293038815,252.0,0.0,118.66223146223146,255.0,0.0,133.28967428967428,255.0,0.0,143.54386694386693
